Original Name,Name in Other Language,Language,Location
HYPATOS,Ὑπατος,Greek,Greek
IAEIROS,Ἰάειρος,Greek,Greek
IAÏROS,Ἰάϊρος,Greek,Greek
IAKKHOS,Ίακχος,Greek,Greek
IAKOB,Ἰακϊώβ,Greek,Greek
IAKOBOS,Ἰάκωβος,Greek,Greek
IANOS,Ιανός,Greek,Greek
IARET,Ἰαρέδ,Greek,Greek
IASON,Ιάσων,Greek,Greek
IDOUMA,Ιδουμα,Greek,Greek
IEPHTHAE,Ἰεφθάε,Greek,Greek
IEREMIAS,Ἱερεμίας,Greek,Greek
IERICHO,Ἱεριχώ,Greek,Greek
IESOUS,Ίησους,Greek,Greek
IKAROS,Ἴκαρος,Greek,Greek
IOAKEIM,Ἰωακείμ,Greek,Greek
IOANNES,Ἰωάννης,Greek,Greek
IOB,Ἰώβ,Greek,Greek
IOEL,Ἰωήλ,Greek,Greek
IONAS,Ἰωνᾶς,Greek,Greek
IORAM,Ἰωράμ,Greek,Greek
IORDANES,Ἰορδάνης,Greek,Greek
IOSAPHAT,ἸωσαΦάτ,Greek,Greek
IOSEPH,Ἰωσήφ,Greek,Greek
IOSES,Ἰωσῆς,Greek,Greek
IOSIAS,Ἰωσίας,Greek,Greek
IOUDAS,Ἰούδας,Greek,Greek
IOULIOS,Ἰούλιος,Greek,Greek
IOUSTOS,Ἰοῦστος,Greek,Greek
ISAÁK,Ἰσαάκ,Greek,Greek
ISIDOROS,Ισίδωρος,Greek,Greek
ISOKRATES,Ισοκράτης,Greek,Greek
KADMOS,Κάδμος,Greek,Greek
KAÏN,Κάϊν,Greek,Greek
KAÏNAM,Καϊνάμ,Greek,Greek
KAIAPHAS,Καϊάφας,Greek,Greek
KAISAR,Καίσαρ,Greek,Greek
KALLIAS,Καλλίας,Greek,Greek
KALLIKRATES,Καλλικράτης,Greek,Greek
KALLISTOS,Κάλλιστος,Greek,Greek
KALLISTRATES,Καλλιστράτης,Greek,Greek
KALLISTRATOS,Καλλίστρατος,Greek,Greek
KALOGEROS,Καλόγερος,Greek,Greek
KAMBYSES,Καμβύσης,Greek,Greek
KAPANEUS,Καπανεύς,Greek,Greek
KARPOS,Καρπός,Greek,Greek
KASTOR,Κάστωρ,Greek,Greek
KEPHALOS,Κέφαλος,Greek,Greek
KEPHAS,Κηφάς,Greek,Greek
KEPHEUS,Κηφεύς,Greek,Greek
KERBEROS,Κέρβερος,Greek,Greek
KEYX,Κήυξ,Greek,Greek
KHARON,Χάρων,Greek,Greek
KHEIRON,Χείρων,Greek,Greek
KHRISTOS,Χριστός,Greek,Greek
KHRYSAOR,Χρυσάωρ,Greek,Greek
KHRYSES,Χρύσης,Greek,Greek
KHTHONIOS,Χθόνιος,Greek,Greek
KIMON,Κίμων,Greek,Greek
KLAUDIOS,Κλαύδιος,Greek,Greek
KLEISTHENES,Κλεισθένης,Greek,Greek
KLEITOS,Κλείτος,Greek,Greek
KLEMENTOS,Κλήμεντος,Greek,Greek
KLEMES,Κλήμης,Greek,Greek
KLEOPAS,Κλεόπας,Greek,Greek
KLEOPATROS,Κλεόπατρος,Greek,Greek
KLOPAS,Κλωπᾶς,Greek,Greek
KONSTANTINOS,Κωνσταντίνος,Greek,Greek
KORNELIOS,Κορνήλιος,Greek,Greek
KOSMOS,Κόσμος,Greek,Greek
KREIOS,Κρειος,Greek,Greek
KREON,Κρέων,Greek,Greek
KRIOS,Κρίος,Greek,Greek
KRONOS,Κρόνος,Greek,Greek
KYPRIANOS,Κυπριανός,Greek,Greek
KYRIAKOS,Κυριάκος,Greek,Greek
KYRILLOS,Κύριλλος,Greek,Greek
KYROS,Κύρος,Greek,Greek
LADON,Λαδων,Greek,Greek
LAMECH,Λάμεχ,Greek,Greek
LAPIDOTH,Λαφιδὼθ,Greek,Greek
LATINOS,λατίνος,Greek,Greek
LAVRENTIOS,Λαυρέντιος,Greek,Greek
LAZAROS,Λάζαρος,Greek,Greek
LEANDROS,Λέανδρος,Greek,Greek
LEBBAIOS,Λεββαῖος,Greek,Greek
LEFTERIS,Λεφτέρις,Greek,Greek
LEON,Λέων,Greek,Greek
LEONIDAS,Λεωνίδας,Greek,Greek
LEUI,Λευί,Greek,Greek
LEUIS,Λευίς,Greek,Greek
LOT,Λώτ,Greek,Greek
LOUKANOS,Λουκανός,Greek,Greek
LOUKAS,Λουκᾶς,Greek,Greek
LOUKIANOS,Λουκιανός,Greek,Greek
LYKAON,Λυκάων,Greek,Greek
LYKOURGOS,Λυκούργος,Greek,Greek
LYSANDROS,Λύσανδρος,Greek,Greek
LYSIMACHOS,Λυσίμαχος,Greek,Greek
LYSISTRATOS,Λυσιστράτος,Greek,Greek
MAKARIOS,Μακάριος,Greek,Greek
MAKEDNOS,Μακεδνός,Greek,Greek
MAKSIMOS,Μάξιμος,Greek,Greek
MANASSES,Μανασσῆς,Greek,Greek
MARDOCHAIOS,Μαρδοχαῖος,Greek,Greek
MARKOS,Μάρκος,Greek,Greek
MATHTHAIOS,Μαθθαῖος,Greek,Greek
MATHTHIAS,Ματθίας,Greek,Greek
MATTATHIAS,Ματταθίας,Greek,Greek
MATTHAIOS,Ματθαίος,Greek,Greek
MATTHAN,Ματθάν,Greek,Greek
MELEAGROS,Μελέαγρος,Greek,Greek
MENELAOS,Μενέλαος,Greek,Greek
MENTOR,Μέντωρ,Greek,Greek
METHODIOS,Μεθόδιος,Greek,Greek
METROPHANES,Μητροφάνης,Greek,Greek
MICHAĒL,Μιχαήλ,Greek,Greek
MIDAS,Μίδας,Greek,Greek
MILTIADES,Μιλτιάδης,Greek,Greek
MINOS,Μίνως,Greek,Greek
